Cod	Descrição	Grupo de itens
10.01.0001	MDF 15MM BP 2F BRANCO	CHAPAS
10.01.0005	MDF 18MM BP 2F BRANCO	CHAPAS
10.01.0006	MDF 18MM BP 2F BRANCO SUPREMO	CHAPAS
10.01.0014	MDF 25MM BP 2F BRANCO	CHAPAS
10.01.0018	MDF 6MM BP 2F BRANCO	CHAPAS
10.01.0019	MDF 6MM BP 2F AZUL PETROLEO	CHAPAS
10.01.0020	MDF 6MM BP 2F BRANCO SUPREMO	CHAPAS
10.01.0026	MDF 25MM BP 2F CHAMOIS	CHAPAS
10.01.0041	MDF 18MM BP 2F AMEIXA NEGRA	CHAPAS
10.01.0042	MDF 25MM BP 2F AMEIXA NEGRA	CHAPAS
10.01.0046	MDF 18MM BP 2F CRISTALLO BRANCO DIAMANTE	CHAPAS
10.01.0049	MDF 18MM BP 2F CRISTALLO GIANDUIA	CHAPAS
10.01.0052	MDF 18MM BP 2F LINEO TEXTIL	CHAPAS
10.01.0055	MDF 18MM BP 2F CRISTALLO PRETO	CHAPAS
10.01.0061	MDF 18MM BP 2F LOURO FREIJO	CHAPAS
10.01.0062	MDF 6MM BP 2F CARVALHO MEL	CHAPAS
10.01.0064	MDF 18MM BP 2F PETRA	CHAPAS
10.01.0065	MDF 18MM BP 2F MARMO	CHAPAS
10.01.0066	MDF 18MM BP 2F FOG	CHAPAS
10.01.0067	MDF 18MM BP 2F BRONZE	CHAPAS
10.01.0068	MDF 18MM BP 2F CRISTALLO OPALA	CHAPAS
10.01.0069	MDF 18MM BP 2F CRISTALLO CINZA SAGRADO	CHAPAS
10.01.0070	MDF 18MM BP 2F NOGUEIRA CAIENA	CHAPAS
10.01.0072	MDF AMEIXA NEGRA BP 2F 06MM	CHAPAS
10.01.0073	MDF 18MM BP 2F MILKSHAKE	CHAPAS
10.01.0074	MDF 6MM 2F GRIGIO	CHAPAS
10.01.0076	MDF 15MM BP 2F CARVALHO MEL	CHAPAS
10.01.0077	MDF 18MM BP 2F AZUL PETROLEO	CHAPAS
10.01.0078	MDF 6MM 2F BIANCO RAVENA	CHAPAS
10.01.0079	MDF 15MM BP 2F BIANCO RAVENA	CHAPAS
10.01.0080	MDF 18MM BP 2F BIANCO RAVENA	CHAPAS
10.01.0081	MDF 25MM BP 2F BIANCO RAVENA	CHAPAS
10.01.0082	MDF 6MM 2F SANTIAGO	CHAPAS
10.01.0083	MDF 15MM BP 2F SANTIAGO	CHAPAS
10.01.0084	MDF 18MM BP 2F SANTIAGO	CHAPAS
10.01.0085	MDF 25MM BP 2F SANTIAGO	CHAPAS
10.01.0086	MDF 18MM BP 2F ASTI	CHAPAS
10.01.0087	MDF 18MM BP 2F AMAZONIA	CHAPAS
10.01.0088	MDF 18MM BP 2F GLAMOUR	CHAPAS
10.01.0089	MDF 18MM BP 2F CARVALHO NATURAL	CHAPAS
10.01.0090	MDF 18MM BP 2F CORAZZI	CHAPAS
10.01.0091	MDF 18MM BP 2F MANHATTAN	CHAPAS
10.01.0095	MDF 6MM 1F BRANCO	CHAPAS
10.01.0098	MDF 6MM 2F SANTIAGO	CHAPAS
10.01.0100	MDF 18MM BP 2F NIQUEL	CHAPAS
10.01.0102	MDF 18MM BP 2F IMBUIA	CHAPAS
10.01.0103	MDF 6MM 2F FRAPE	CHAPAS
10.01.0104	MDF 15MM BP 2F FRAPE	CHAPAS
10.01.0105	MDF 18MM BP 2F FRAPE	CHAPAS
10.01.0106	MDF 25MM BP 2F FRAPE	CHAPAS
10.01.0107	MDF 18MM BP 2F JASPE	CHAPAS
10.01.0108	MDF 25MM BP 2F ASTI	CHAPAS
10.01.0201	MDF 6MM 2F FRAPE	CHAPAS
10.01.0202	MDF 6MM 2F CINZA PURO	CHAPAS
10.01.0203	MDF 6MM 2F BIANCO RAVENA	CHAPAS
10.01.0204	MDF 6MM 2F AMEIXA NEGRA	CHAPAS
10.01.0205	MDF 6MM 2F CARVALHO MEL	CHAPAS
10.01.0206	MDF 6MM 2F BEIGE	CHAPAS
10.01.0207	MDF 6M 2F GRAFITO	CHAPAS
10.01.1001	MDP 15MM BP 2F BRANCO	CHAPAS
10.01.1002	MDP 15MM BP 2F CHAMOIS	CHAPAS
10.01.1007	MDP 25MM BP 2F BRANCO	CHAPAS
10.01.1008	MDP 15MM BP 2F CARVALHO MEL	CHAPAS
10.01.1009	MDP 25MM BP 2F CARVALHO MEL	CHAPAS
10.01.1010	MDP 15MM BP 2F FRAPE	CHAPAS
10.01.1011	MDP 15MM BP 2F AMEIXA NEGRA	CHAPAS
10.01.1013	MDP 15MM BP 2F GRIGIO	CHAPAS
10.01.1014	MDP 25MM BP 2F GRIGIO	CHAPAS
10.01.1015	MDP 25MM BP 2F CHAMOIS	CHAPAS
10.01.1017	MDP 18MM BP 2F BRANCO	CHAPAS
10.01.1019	MDF 25MM BP 2F CORAZZI	CHAPAS
10.01.1020	MDF 18MM BP 2F CAMELO	CHAPAS
10.01.1021	MDF 18MM BP 2F VULCANO	CHAPAS
10.01.1022	MDP 18MM BP 2F AMEIXA NEGRA	CHAPAS
10.01.1023	MDP 18MM BP 2F LOURO FREIJO	CHAPAS
10.01.1024	MDF 18MM BP 2F REALI	CHAPAS
10.01.1028	MDF 18MM BP 2F CINZA PURO	CHAPAS
10.01.1029	MDP 18MM BP 2F CINZA PURO	CHAPAS
10.01.1030	MDP 18MM BP 2F CARVALHO MEL	CHAPAS
10.01.1032	MDP 18MM BP 2F FRAPE	CHAPAS
10.01.1033	MDP 25MM BP 2F FRAPE	CHAPAS
10.01.1034	MDP 25MM BP 2F GRAFITO	CHAPAS
10.01.1035	MDF 25MM BP 2F EBANO CHESS	CHAPAS
10.01.1036	MDF 6MM 2F GRAFITO	CHAPAS
10.01.1037	MDP 15MM BP 2F GRAFITO	CHAPAS
10.01.1038	MDP 18MM BP 2F GRAFITO	CHAPAS
10.01.1039	MDF 18MM BP 2F EBANO CHESS	CHAPAS
10.01.1040	MDF 18MM BP 2F CANCUN	CHAPAS
10.01.1041	MDF 18MM BP 2F DEVA	CHAPAS
10.01.1042	MDF 18MM BP 2F DAMASCO	CHAPAS
10.01.1043	MDP 25MM BP 2F BEIGE	CHAPAS
10.01.1044	MDF 6MM 2F BEIGE	CHAPAS
10.01.1045	MDF 15MM BP 2F BEIGE	CHAPAS
10.01.1046	MDF 18MM BP 2F BEIGE	CHAPAS
10.01.1047	MDF 25MM BP 2F BEIGE	CHAPAS
10.01.1048	MDP 15MM BP 2F BEIGE	CHAPAS
10.01.1049	MDF 18MM BP 2F TITAN	CHAPAS
10.01.1050	MDF 18MM BP 2F MINT	CHAPAS
10.01.1051	MDP 15MM BP 2F LOURO FREIJO	CHAPAS
10.01.1052	MDP 25MM BP 2F LOURO FREIJO	CHAPAS
10.01.1053	MDP 15MM BP 2F CINZA PURO	CHAPAS
10.01.1054	MDP 25MM BP 2F CINZA PURO	CHAPAS
10.01.1055	MDF 6MM 2F CINZA PURO	CHAPAS
10.01.1056	MDF 18MM BP 2F QUARTZO	CHAPAS
10.01.1057	MDF 25MM BP 2F QUARTZO	CHAPAS
10.01.1058	MDP 15MM BP 2F MINT	CHAPAS
10.01.1059	MDP 25MM BP 2F MINT	CHAPAS
10.01.1060	MDF 18MM BP 2F PETAR	CHAPAS
10.01.1061	MDF 25MM BP 2F PETAR	CHAPAS
10.01.1062	MDF 18MM BP 2F JALAPAO	CHAPAS
10.01.1063	MDF 18MM BP 2F ATLANTICA	CHAPAS
10.01.1064	MDF 25MM BP 2F ATLANTICA	CHAPAS
10.01.1065	MDP 18MM BP 2F ATLANTICA	CHAPAS
10.01.1066	MDP 18MM BP 2F PAU FERRO	CHAPAS
10.01.1067	MDF 25MM BP 2F PAU FERRO	CHAPAS
10.01.1068	MDF 18MM BP 2F PAU FERRO	CHAPAS
10.01.1069	MDP 18MM BP 2F BRANCO SUPREMO	CHAPAS
10.01.1070	MDF 06MM BP 2F CARVALHO NATURAL	CHAPAS
10.01.1071	MDF 25MM BP 2F GLAMOUR	CHAPAS
10.01.1072	MDF 15MM BP 2F CARVALHO NATURAL	CHAPAS
10.01.1073	MDF 06MM BP 2F JALAPAO	CHAPAS
10.01.1074	MDF 15MM BP 2F JALAPAO	CHAPAS
10.01.1075	MDF 06MM BP 2F PETAR	CHAPAS
10.01.1076	MDF 15MM BP 2F PETAR	CHAPAS
10.01.1077	MDF 06MM BP 2F MINT	CHAPAS
10.01.1078	MDF 06MM BP 2F ATLANTICA	CHAPAS
10.01.1079	MDF 06MM BP 2F PAU FERRO	CHAPAS
10.01.1080	MDF 06MM BP 2F QUARTZO	CHAPAS
10.01.1081	MDF 06MM BP 2F URBI	CHAPAS
10.01.1082	MDF 15MM BP 2F URBI	CHAPAS
10.01.1083	MDF 18MM BP 2F URBI	CHAPAS
10.01.1084	MDF 25MM BP 2F URBI	CHAPAS
10.01.1085	MDF 18MM BP 2F LINUM	CHAPAS
10.01.1086	MDF 18MM BP 2F CARVALHO LATINO	CHAPAS
10.01.1087	MDF 18MM BP 2F CABIUNA NOBRE	CHAPAS
10.01.1088	MDF 18MM BP 2F SERRANO	CHAPAS
10.01.1089	MDF 25MM BP 2F SERRANO	CHAPAS
10.01.1090	MDF 18MM BP 2F RAPHIA	CHAPAS
10.01.1091	MDF 25MM BP 2F CABIUNA NOBRE	CHAPAS
10.01.1094	MDF 25MM BP 2F CARVALHO NATURAL	CHAPAS
10.01.1095	MDF 06MM BP 2F RAPHIA	CHAPAS
10.01.1096	MDF 06MM BP 2F CARVALHO LATINO	CHAPAS
10.01.1097	MDF 06MM BP 2F BRANCO SUPREMO	CHAPAS
10.01.1098	MDF 06MM BP 2F SERRANO	CHAPAS
10.01.1099	MDF 06MM BP 2F CABIUNA NOBRE	CHAPAS
10.01.1100	MDF 06MM BP 2F LINUM	CHAPAS
10.01.1101	MDF 06MM BP 2F CHAMOIS	CHAPAS
10.01.1102	MDF 18MM BP 2F CARVALHO MALVA	CHAPAS
10.01.1103	MDF 25MM BP 2F CARVALHO MALVA	CHAPAS
10.01.1104	MDF 15MM BP 2F CARVALHO MALVA	CHAPAS
10.01.1105	MDF 15MM BP 2F OURO	CHAPAS
10.01.1106	MDF 18MM BP 2F OURO	CHAPAS
10.01.1107	MDF 06MM BP 2F OURO	CHAPAS
10.01.1108	MDF 15MM BP 2F PANNA	CHAPAS
10.01.1109	MDF 25MM BP 2F PANNA	CHAPAS
10.01.1110	MDF 18MM BP 2F PANNA	CHAPAS
10.01.1111	MDF 06MM BP 2F PANNA	CHAPAS
10.01.1112	MDF 06MM BP 2F CARVALHO MALVA	CHAPAS
10.01.1113	MDF 06MM BP 2F LOURO FREIJO	CHAPAS
10.01.1114	MDF 06MM BP 2F CANCUN	CHAPAS
10.01.1115	MDF 06MM BP 2F NIQUEL	CHAPAS
10.01.1116	MDF 15MM BP 2F NIQUEL	CHAPAS
10.01.1117	MDF 09MM BP BRANCO	CHAPAS
10.01.1118	MDF 6MM BP 2F MINT ESSENCIAL	CHAPAS
10.01.1119	MDF 6MM BP 2F MILKSHAKE	CHAPAS
10.01.1120	MDF 18MM BP 2F AZUL ARDOSIA	CHAPAS
10.01.1121	MDF 18MM BP 2F ROSA INFINITO	CHAPAS
10.01.1122	MDF 18MM BP 2F ITALIAN NOCE	CHAPAS
10.01.1123	MDF 37MM BP 2F	CHAPAS
10.01.1124	MDF 18MM BP 2F VERDE JADE	CHAPAS
10.01.1125	MDF 18MM BP 2F TOQUIO	CHAPAS
10.01.1126	MDF 15MM BP 2F CANCUN	CHAPAS
10.01.1127	MDF 25MM BP 2F LINUM	CHAPAS
10.01.1128	MDF 6MM 2F ASTI	CHAPAS
10.01.1129	MDF 18MM BP 2F AZUL SECRETO	CHAPAS
10.01.1130	MDF 18MM BP 2F OCRE SOLAR	CHAPAS
10.01.1131	MDF 6MM 2F AZUL ARDOSIA	CHAPAS
10.01.1132	MDF 6MM 2F LINEO TEXTIL	CHAPAS
10.01.1133	MDF 6MM 2F AZUL SECRETO	CHAPAS
10.01.1134	MDF 18MM BP 2F LOURO.F SUDATI	CHAPAS
10.01.1135	MDF 18MM BP 2F JEQUITIBA	CHAPAS
10.01.1136	MDF GLAMOUR 1F 06MM	CHAPAS
10.01.1137	MDF 15MM BP 2F SERRANO	CHAPAS
10.01.1138	MDF 15MM BP 2F CABIUNA NOBRE	CHAPAS
10.01.1139	MDF 18MM BP 2F OFF WHITE	CHAPAS
10.01.1140	MDF 18MM BP 2F ARENAS	CHAPAS
10.01.1142	MDF 18MM BP 2F CINZA URBANO	CHAPAS
10.01.1143	MDF 18MM BP 2F GAIA	CHAPAS
10.01.1144	MDF 18MM BP 2F AURORA TRAMA	CHAPAS
10.01.1145	MDF 15MM BP 2F CARVALHO LATINO	CHAPAS
10.01.1146	MDF 18MM BP 2F GENERICO	CHAPAS
10.01.1147	MDF 18MM BP 2F TAIPA	CHAPAS
10.01.1148	MDF 15MM BP 2F EBANO CHESS ARAUCO	CHAPAS
10.01.1149	MDF 06MM 2F GLAMOUR	CHAPAS
10.01.1150	MDF 18MM BP 2F BLUSH	CHAPAS
10.01.1151	MDF 06MM 2F BLUSH	CHAPAS
10.01.1152	MDF 18M CARVALHO MEL	CHAPAS
10.01.1153	MDF 18M FONTANA MAGMA	CHAPAS
10.01.1154	MDF 18M MONTEGO BLANC	CHAPAS
10.01.1155	MDF 25MM BP 2F MONTEGO BLANC	CHAPAS
10.01.1156	MDF 18M FENDI GUARARAPES	CHAPAS
10.01.1157	MDF 18M PALHA TRAMA DURATEX	CHAPAS
10.01.1158	MDP 18MM BP 2F MOCCA	CHAPAS
10.01.1159	MDP 25MM BP 2F MOCCA	CHAPAS
10.01.1160	MDF 18MM BP 2F CHAMOIS	CHAPAS
10.01.1161	MDP 15MM BP 2F MOCCA	CHAPAS
